Filename	Read_Count
293T_P101_1_BS.bam	715481
293T_P101_1_input.bam	160208
293T_P101_2_BS.bam	1346852
293T_P101_2_input.bam	8
293T_P101_3_BS.bam	493257
293T_P101_3_input.bam	925435
293T_P102_1_BS.bam	724633
293T_P102_1_input.bam	739453
293T_P102_2_BS.bam	1027057
293T_P102_2_input.bam	258164
293T_P102_3_BS.bam	468189
293T_P102_3_input.bam	465963
293T_P3_1_BS.bam	762446
293T_P3_1_input.bam	173517
293T_P3_2_BS.bam	594718
293T_P3_2_input.bam	286208
293T_P3_3_BS.bam	1575392
293T_P3_3_input.bam	312081
293T_P4_1_BS.bam	1123493
293T_P4_1_input.bam	695246
293T_P4_2_BS.bam	965176
293T_P4_2_input.bam	3
293T_P4_3_BS.bam	694739
293T_P4_3_input.bam	246112
HepG2_P101_1_BS.bam	789476
HepG2_P101_1_input.bam	474063
HepG2_P101_2_BS.bam	927776
HepG2_P101_2_input.bam	374982
HepG2_P101_3_BS.bam	799323
HepG2_P101_3_input.bam	115715
HepG2_P102_1_BS.bam	786071
HepG2_P102_1_input.bam	599273
HepG2_P102_2_BS.bam	562552
HepG2_P102_2_input.bam	432667
HepG2_P102_3_BS.bam	1007814
HepG2_P102_3_input.bam	27
HepG2_P27_1_BS.bam	804503
HepG2_P27_1_input.bam	154483
HepG2_P27_2_BS.bam	1129846
HepG2_P27_2_input.bam	529729
HepG2_P27_3_BS.bam	575423
HepG2_P27_3_input.bam	155372
HepG2_P3_1_BS.bam	764962
HepG2_P3_1_input.bam	352288
HepG2_P3_2_BS.bam	597251
HepG2_P3_2_input.bam	354453
HepG2_P3_3_BS.bam	660274
HepG2_P3_3_input.bam	66076
HepG2_P4_1_BS.bam	752762
HepG2_P4_1_input.bam	162963
HepG2_P4_2_BS.bam	809346
HepG2_P4_2_input.bam	368440
HepG2_P4_3_BS.bam	552542
HepG2_P4_3_input.bam	223862
HepG2_PUS1KO_1_BS.bam	467357
HepG2_PUS1KO_1_input.bam	285433
HepG2_PUS1KO_2_BS.bam	481157
HepG2_PUS1KO_2_input.bam	289693
HepG2_PUS1KO_3_BS.bam	610655
HepG2_PUS1KO_3_input.bam	166770
HepG2_WT_1_BS.bam	840367
HepG2_WT_1_input.bam	891512
HepG2_WT_2_BS.bam	978947
HepG2_WT_2_input.bam	366517
HepG2_WT_3_BS.bam	441275
HepG2_WT_3_input.bam	302835
