"pos_m20","pos_m19","pos_m18","pos_m17","pos_m16","pos_m15","pos_m14","pos_m13","pos_m12","pos_m11","pos_m10","pos_m9","pos_m8","pos_m7","pos_m6","pos_m5","pos_m4","pos_m3","pos_m2","pos_m1","pos_0","pos_1","pos_2","pos_3","pos_4","pos_5","pos_6","pos_7","pos_8","pos_9","pos_10","pos_11","pos_12","pos_13","pos_14","pos_15","pos_16","pos_17","pos_18","pos_19","pos_20"
0.9992336,0.9992634,0.9965539,0.9644495,0.9890038,0.6658506,0.4396092,0.5024201,0.6537823,0.6218942,0.4588924,0.7113658,0.7445212,0.4636483,0.1624219,0.5131128,0.4817314,0.9345906,0.9483948,0.547868,0.2480037,0.1847124,0.1784754,0.04845551,0.0602871,0.05588502,0.02812563,0.197289,0.3322387,0.3374553,0.1048966,0.09998387,0.2111892,0.6995259,0.8964946,0.9452961,0.9449884,0.9355383,0.9191206,0.7466021,0.4438918
0.9975573,0.995649,0.9982048,0.9962972,0.9552935,0.9569576,0.8749822,0.05958066,0.2817801,0.2831683,0.2306637,0.1934769,0.929728,0.7896683,0.847554,0.8438361,0.5248153,0.04288919,0.129538,0.3931792,0.6531361,0.6214294,0.06603,0.3014026,0.3399385,0.1563792,0.1821118,0.1805141,0.1633294,0.1536684,0.9978601,0.9999844,0.9999732,0.9935111,0,0,0,0.3143813,0.9984968,0.9999463,0.9964918
1.068258e-05,0.0008755585,0.04534765,0.1379505,0.79642,0.8233774,0.1234807,0.959854,0.9996393,0.999994,0.9999976,0.9999998,0.9999973,0.9998392,0.9817763,0.007139852,0.5359827,0.9989088,0.9924814,0.8968394,0.002861869,0,0.999687,0.9999776,0.9999992,0.9999918,0.9993457,0.02185313,0.02153585,0.047395,0.1458457,0.1731022,0.003062009,0.0204971,0.002702562,0.01419869,0.03909705,0.1391093,0.1477112,0.03472093,0.3258084
0.857212,0.7871419,0.778546,0.3818533,0.3721352,0.3419677,0.5893123,0.7295254,0.9757481,0.9881162,0.9908737,0.9879451,0.004484385,0.8505391,0.4282466,0.5357658,0.9965247,0.9987704,0.8857077,0.02824444,0.6905865,0.6553548,0.02819819,0.6206726,0.641242,0.000141346,0.9685348,0.9944235,0.993491,0.9928844,0.9831403,0.001072476,0.003732544,0.000260101,0.0002777058,0.0003034948,0.002148751,0.9553068,0.9907211,0.5177144,0.4962615
0.003078552,0.01004131,0.01519311,0.01397994,0.005405745,0.000374189,0.0007428281,0.01680641,0.01935897,0.9786976,0.9999558,0.999552,0.9992951,0.9491693,0.01158042,0.9970782,0.999973,0.9999841,0.9999971,0.9999963,0.9806201,7.298089e-05,0,2.191142e-05,7.204434e-05,0.98062,0.9999963,0.9999964,0.999972,0.9999609,0.9971801,0.2571204,0.3054009,0.3165571,0.2884813,0.1832105,0.3018704,0.5967942,0.4223165,0.5584625,0.6884524
0.9794466,0.04041407,0.02810467,0.04099183,0.006592585,0.9165707,0.9443052,0.944924,0.9697412,0.7854329,0.1694106,0.4379849,0.8107979,0.7617459,0.02074458,0.5431874,0.9979195,0.9995158,0.766922,0.9947732,0.3314466,0.000509165,0.02994317,0.002526723,0.002575319,0.004112765,0.01081014,0.2312151,0.2312231,0.04307693,0.242646,0.3114224,0.2894581,0.7094721,0.8484231,0.9142228,0.9145843,0.03602518,0.3632265,0.01028008,0.002468772
0.001981866,0.9986974,0.9997182,0.9996992,0.9998227,0.998153,0.7920205,0.002322441,0.9573053,0.9738357,0.9369279,0.03502768,0.00703422,0.0004642365,0.0002174899,0,0.9394356,0.9874097,0.9823719,0.0001836228,0.7925891,0.9985361,0.9995887,0.9995189,0.9993262,0.9992242,0.01297043,0.01963574,0.1133494,0.001234823,0.03671474,0.993857,0.9962183,0.9990878,0.9993919,0.9992847,0.9940777,0.02040662,0.2461293,0.260498,0.2862758
0.01389013,0.7878295,0.9509604,0.97457,0.9438603,0.8552999,0.001216516,0.001101712,0.001132174,0.0008026546,0.8544771,0.9481278,0.9753969,0.9689855,0.8448404,0.08955067,0.8260795,0.982729,0.9932936,0.9376925,0.9164774,0.9139949,0.91019,0.04932535,0.1258534,0.001050825,0.0006142731,0.001277364,0.004526726,0.08667976,0.8931706,0.9147915,0.9203354,0.9399501,0.9433114,0.9388748,0.8147261,0.6624091,0.9765383,0.9991969,0.9984669
0.9993731,0.9999778,0.9999974,0.9999793,0.9990301,0.9998777,0.970641,1.821105e-05,0.9568543,0.9972421,0.001417877,0.999268,0.9999996,0.9999928,0.999929,0.9683578,0,0.1327931,0.005348102,0.8738011,0.9946245,0.9998842,0.9999976,0.9994264,5.605493e-05,0.9939117,0.9990481,0.9928403,0.9623362,0.9995018,0.9998511,0.0006042742,0.00229033,0.001249814,0.000123588,0.0001150327,0.00180971,0.0003517522,0.0006702031,0.999893,0.9999709
0.9980857,0.9683075,0.001211648,0.9998425,0.999999,0.9999964,0.999713,0.9861037,0.7553631,0.0003138956,0,0,0.0004108948,0.755634,0.9861452,0.9993036,0.9999964,0.999999,0.999408,0.01835865,0.951595,0.9954997,0.9995012,0.9992644,0.9935413,0.2236711,0.7760776,0.9999131,0.9999998,0.9996805,0,0.01232742,0.8296267,0.9994822,0.9999993,0.9999996,0.9999889,0.998248,0.03201108,0.06445926,0.01256811
