chr	pos	avg_delrate_BS	avg_delrate_input	all_below_thresh	delta_delrate	p.value	is_equivalent	equivalence_status	site_specific_eqbound	p.adjust_diff	category
7SK.RN7SK_chr6_52995869	65	0.030292834933233113	0.005401985432647511	FALSE	0.0248908495005856	1.7166427960830402e-20	TRUE	Equivalent	2.3794280670210735	1.7166427960830402e-20	Unmodified
A2M_chr12_9089951	66	0.004725812473100379	0.0033028372860656684	TRUE	0.001422975187034711	NA	NA	NA	NA	NA	Unmodified
A2M_chr12_9108862	66	0.006252600561850493	0.006421821449984261	TRUE	-1.6922088813376823e-4	NA	NA	NA	NA	NA	Unmodified
A2M_chr12_9109098	66	0.0019814439185635944	0.005640569374895398	TRUE	-0.003659125456331804	NA	NA	NA	NA	NA	Unmodified
ABCA1_chr9_104822263	66	0.004578541164690549	0.0015963606286186923	TRUE	0.0029821805360718562	NA	NA	NA	NA	NA	Unmodified
ABCC2_chr10_99808770	66	0.01732235382365511	0.01411798011984278	TRUE	0.0032043737038123313	NA	NA	NA	NA	NA	Unmodified
ABCC2_chr10_99842039	66	0.007214202237866147	0.0038966305522869955	FALSE	0.0033175716855791517	0.2593646495147037	TRUE	Equivalent	2.6784549479359394	0.2593646495147037	Unmodified
ABCD4_chr14_74286532	66	0.07889319563818901	0.0063594936893227455	FALSE	0.07253370194886627	5.470726813148982e-73	FALSE	Not equivalent	2.233432141433114	5.470726813148982e-73	Modified
ABCG2_chr4_88107235	66	0.002983195325440377	7.215007215007218e-4	TRUE	0.002261694603939655	NA	NA	NA	NA	NA	Unmodified
ACACA_chr17_37191171	66	0.004555666340683146	0.006780789875389468	TRUE	-0.0022251235347063225	NA	NA	NA	NA	NA	Unmodified
ACIN1_chr14_23068263	66	0.02097786408363432	0.02043778594881999	TRUE	5.400781348143292e-4	NA	NA	NA	NA	NA	Unmodified
ACSL3_chr2_222924521	66	0.002070310959063841	0.0030864197530864165	TRUE	-0.0010161087940225755	NA	NA	NA	NA	NA	Unmodified
ACSL4_chrX_109642669	66	0.008480018839607873	0.005797101449275361	TRUE	0.0026829173903325128	NA	NA	NA	NA	NA	Unmodified
ACSL4_chrX_109706818	66	0.002668366804638946	0.00274287980230927	TRUE	-7.451299767032406e-5	NA	NA	NA	NA	NA	Unmodified
ACSL4_chrX_109716428	66	0.005219048409520072	0.005590659550145035	TRUE	-3.7161114062496305e-4	NA	NA	NA	NA	NA	Unmodified
ACSL4_chrX_109732148	64	0.012956762328059538	0.015985114661523133	TRUE	-0.003028352333463595	NA	NA	NA	NA	NA	Unmodified
ACTL6A_chr3_179587991	65	0.16913683654764122	0.012096674521357117	FALSE	0.1570401620262841	3.324449227216492e-94	FALSE	Not equivalent	1.6876998203228646	3.324449227216492e-94	Modified
ACVR2B_chr3_38493029	65	0.20080098931354443	0.018766036846364763	FALSE	0.18203495246717966	1.2501618449124568e-17	FALSE	Not equivalent	1.3509616641442772	1.2501618449124568e-17	Modified
AFMID_chr17_78197143	66	0.002186019931638254	0.003457762990838157	TRUE	-0.0012717430591999029	NA	NA	NA	NA	NA	Unmodified
AFP_chr4_73440546	66	7.682249101013401e-4	0	TRUE	7.682249101013401e-4	NA	NA	NA	NA	NA	Unmodified
AFP_chr4_73446544	66	0.010218812179884846	0.010961794388459307	TRUE	-7.429822085744612e-4	NA	NA	NA	NA	NA	Unmodified
AFP_chr4_73449256	66	0.001240228077519205	0	TRUE	0.001240228077519205	NA	NA	NA	NA	NA	Unmodified
AFP_chr4_73452730	65	0.008203109056963328	0.004579363330043663	TRUE	0.0036237457269196654	NA	NA	NA	NA	NA	Unmodified
AFP_chr4_73455031	66	0.0016002072019089908	7.526701648617469e-4	TRUE	8.47537037047244e-4	NA	NA	NA	NA	NA	Unmodified
AGAP1_chr2_236131424	64	0.015278548036711713	0.010924387966432872	FALSE	0.004354160070278841	0.002179166527011552	TRUE	Equivalent	1.7705106174924254	0.002179166527011552	Unmodified
AGPAT5_chr8_6758246	65	0.23545649577128555	0.0067222140524453855	FALSE	0.22873428171884017	1.3818066493946235e-107	FALSE	Not equivalent	2.1843978968758555	1.3818066493946235e-107	Modified
AGRN_chr1_1045781	65	0.008624796977252273	0.0012102619168295062	FALSE	0.0074145350604227665	1.0670269701713244e-11	TRUE	Equivalent	3.7964602152528886	1.0670269701713244e-11	Unmodified
AHNAK_chr11_62532261	66	0.0011303685047869022	0.0018171673652819383	TRUE	-6.867988604950361e-4	NA	NA	NA	NA	NA	Unmodified
AHSG_chr3_186617879	64	0.02363578189644871	0.01966783438451074	TRUE	0.003967947511937967	NA	NA	NA	NA	NA	Unmodified
AHSG_chr3_186618872	66	0.00476862412453706	0.0088924087566865425	TRUE	-0.004123784632149482	NA	NA	NA	NA	NA	Unmodified
AIMP1_chr4_106328190	65	0.012021104030746969	0.0024112363437526286	FALSE	0.009609867686994341	4.0667607516204854e-4	TRUE	Equivalent	3.1304018971125167	4.0667607516204854e-4	Unmodified
AKAP1_chr17_57112506	66	0.006258829046992857	0.00474918864891879	TRUE	0.0015096403980740672	NA	NA	NA	NA	NA	Unmodified
AKR1C1_chr10_4968113	66	0.003619930501308624	0.0013333333333333333	TRUE	0.0022865971679752904	NA	NA	NA	NA	NA	Unmodified
ALB_chr4_73411447	66	0.01	0	TRUE	0.01	NA	NA	NA	NA	NA	Unmodified
ALB_chr4_73413373	66	0.0030802083548489914	0.0029231161694906116	TRUE	1.5709218535837986e-4	NA	NA	NA	NA	NA	Unmodified
ALB_chr4_73413706	64	0.022863782375428042	0.016138036403426394	FALSE	0.0067257459720016476	0.21286145634050413	TRUE	Equivalent	1.4627219930325381	0.21286145634050413	Unmodified
ALB_chr4_73414064	66	0.005584694625362472	0.0025075491269087877	TRUE	0.0030771454984536845	NA	NA	NA	NA	NA	Unmodified
ALB_chr4_73419434	65	0.01937859158153711	0.0189040712653257	TRUE	4.7452031621141033e-4	NA	NA	NA	NA	NA	Unmodified
ALDH6A1_chr14_74071478	66	0.16159557765784854	0.005592171758551469	FALSE	0.15600340589929707	1.2405749754285869e-134	FALSE	Not equivalent	2.3482639943246997	1.2405749754285869e-134	Modified
AMFR_chr16_56362360	65	0.3427540828996537	0.011905074370085148	FALSE	0.33084900852956856	7.843266870829276e-279	FALSE	Not equivalent	1.7005650541363657	7.843266870829276e-279	Modified
ANKFY1_chr17_4164198	66	0.03538805364728828	0.009999014735404809	FALSE	0.025389038911883474	5.705355302710107e-29	TRUE	Equivalent	1.843666594257789	5.705355302710107e-29	Unmodified
ANKIB1_chr7_92399540	64	0.016448086822355962	0.005325260892778027	FALSE	0.011122825929577935	0.012146977941092272	TRUE	Equivalent	2.392343008743332	0.012146977941092272	Unmodified
ANKRD10_chr13_110893942	62	0.08251558686789019	0.08074563381469119	FALSE	0.0017699530531990054	0.41099004779771786	TRUE	Equivalent	0.537876894852652	0.41099004779771786	Unmodified
ANKRD10_chr13_110903910	66	0.0034843205574912857	0	TRUE	0.0034843205574912857	NA	NA	NA	NA	NA	Unmodified
ANKRD10_chr13_110904973	66	0.0023149821995451184	0.003128233159710258	TRUE	-8.132509601651394e-4	NA	NA	NA	NA	NA	Unmodified
ANKRD36_chr2_97113830	66	0.0031738685566022064	0.001913769197523277	TRUE	0.0012600993590789293	NA	NA	NA	NA	NA	Unmodified
ANO6_chr12_45357322	64	0.024578217504930343	0.017190302066431365	FALSE	0.0073879154384989786	0.9935918961942138	TRUE	Equivalent	1.4153978272979546	0.9935918961942138	Unmodified
ANP32B_chr9_98015670	65	0.011747213068508462	0.011295170981172846	TRUE	4.520420873356159e-4	NA	NA	NA	NA	NA	Unmodified
AP2B1_chr17_35724705	65	0.19944913758605823	0.008043688494393087	FALSE	0.19140544909166515	2.516694403722709e-77	FALSE	Not equivalent	2.0280284013884433	2.516694403722709e-77	Modified
APOBEC3C_chr22_39018870	65	2.866878023599721e-4	0.003592756582189284	TRUE	-0.003306068779829312	NA	NA	NA	NA	NA	Unmodified
APOB_chr2_21001520	65	0.04296727629527092	0.042939236658949664	FALSE	2.803963632125317e-5	0.3130219374290897	TRUE	Equivalent	0.8258173363554508	0.3130219374290897	Unmodified
APOB_chr2_21019210	66	0.018813050651941932	0.0202290103866571	TRUE	-0.0014159597347151685	NA	NA	NA	NA	NA	Unmodified
APOB_chr2_21022826	66	0.006304951300301089	0.00576263938880522	TRUE	5.423119114958694e-4	NA	NA	NA	NA	NA	Unmodified
ARB2A.NPM1P27_chr5_93683306	66	0.03150252969617602	0.004715485464378426	FALSE	0.026787044231797594	6.2886242903954435e-12	TRUE	Equivalent	2.502837579733324	6.2886242903954435e-12	Unmodified
ARF3_chr12_48938164	66	0.09842600796247387	0.013481774673686124	FALSE	0.08494423328878775	2.274874040245746e-48	FALSE	Not equivalent	1.6014269197462516	2.274874040245746e-48	Modified
ARHGAP5_chr14_32091340	66	0.006607851026543189	0.001385373469943304	FALSE	0.005222477556599886	0.00783881726375082	TRUE	Equivalent	3.664750125046105	0.00783881726375082	Unmodified
ARHGAP5_chr14_32092306	66	8.308510016938258e-4	0	TRUE	8.308510016938258e-4	NA	NA	NA	NA	NA	Unmodified
ARIH1_chr15_72584998	64	0.003956996200086886	0.003278517106270488	TRUE	6.784790938163983e-4	NA	NA	NA	NA	NA	Unmodified
