chr	pos	category	avg_delrate_BS	avg_delrate_input	delta_delrate	p.adjust_diff	equivalence_status	site_specific_eqbound
NRDC_chr1_51791640	66	Modified	0.8381216052312397	9.803921568627466e-4	0.8371412130743769	1.641787431858523e-31	Not equivalent	4.002588664527574
INTS10_chr8_19851849	65	Modified	0.8226275247591587	0.006880881992014627	0.815746642767144	2.2673796304969e-100	Not equivalent	2.1638704730856686
ALB_chr4_73411447	66	Modified	0.812173458725183	0	0.812173458725183	8.498704272590828e-18	Equivalent	17.778826856779972
BCL2L2.BCL2L2-PABPN1_chr14_23307820	65	Modified	0.8199484892098233	0.010234882339157807	0.8097136068706655	2.7235912157399204e-91	Not equivalent	1.8242875931162001
TMEM33_chr4_41959134	65	Modified	0.8090023686900136	0.003367003367003367	0.8056353653230103	4.496094944138412e-48	Not equivalent	2.814640619909139
PPP1R12B_chr1_202587327	65	Modified	0.8104242326564237	0.008196458531476767	0.802227774124947	8.403599352566994e-83	Not equivalent	2.0118506750120337
GOLGA7_chr8_41510774	65	Modified	0.8018813987501663	0	0.8018813987501663	4.792204519599342e-20	Equivalent	17.778826856779972
SETD7_chr4_139508484	66	Modified	0.8045166090094114	0.0038318642092227	0.8006847448001887	1.5205207163364633e-35	Not equivalent	2.6940099076362274
COX20_chr1_244843050	65	Modified	0.8013580246913583	0.0042997137920574	0.7970583108993009	7.412189154748909e-31	Not equivalent	2.587491093739002
PAFAH1B2_chr11_117167797	65	Modified	0.791188904522352	0.00272660177410146	0.7884623027482506	1.2011508644786185e-49	Not equivalent	3.013501245703245
TXNRD3_chr3_126642127	66	Modified	0.794157480722455	0.012581188387293047	0.7815762923351619	7.994155333379798e-79	Not equivalent	1.6562261388998518
FMR1_chrX_147925593	65	Modified	0.78256273867976	0.0013386880856760368	0.781224050594084	2.2896178270147257e-23	Not equivalent	3.6981183764041123
KLHDC10_chr7_130132453	65	Modified	0.7837887759341223	0.0035579240422172367	0.7802308518919051	7.608424109577549e-65	Not equivalent	2.763067759865871
MRPS21_chr1_150294195	65	Modified	0.789907125668715	0.014357298474945523	0.7755498271937695	9.445018392997765e-59	Not equivalent	1.5522521713799495
MALAT1_chr11_65503351	65	Modified	0.7908163265306123	0.016472119500133428	0.7743442070304789	3.2920496860660833e-212	Not equivalent	1.4472885361765586
CCT7_chr2_73252776	65	Modified	0.778825485102662	0.006873038493112663	0.7719524466095493	2.9240356381684735e-272	Not equivalent	2.1648726989513793
MTHFD2_chr2_74207794	65	Modified	0.7764267355893987	0.00901394249819749	0.7674127930912011	1.0487933624442007e-81	Not equivalent	1.930773326752346
