chr	pos	data_HepG2_WT_v_KD	term_HepG2_WT_v_KD	p.value_HepG2_WT_v_KD	note_HepG2_WT_v_KD	p.value.BH_HepG2_WT_v_KD	delta_delrate_P101_HepG2_WT_v_KD	delta_delrate_P102_HepG2_WT_v_KD	dd_delrate_HepG2_WT_v_KD	data_HepG2_WT_v_OE	term_HepG2_WT_v_OE	p.value_HepG2_WT_v_OE	note_HepG2_WT_v_OE	p.value.BH_HepG2_WT_v_OE	delta_delrate_P4_HepG2_WT_v_OE	delta_delrate_P3_HepG2_WT_v_OE	dd_delrate_HepG2_WT_v_OE	data_293T_WT_v_KD	term_293T_WT_v_KD	p.value_293T_WT_v_KD	note_293T_WT_v_KD	p.value.BH_293T_WT_v_KD	delta_delrate_P101_293T_WT_v_KD	delta_delrate_P102_293T_WT_v_KD	dd_delrate_293T_WT_v_KD	data_293T_WT_v_OE	term_293T_WT_v_OE	p.value_293T_WT_v_OE	note_293T_WT_v_OE	p.value.BH_293T_WT_v_OE	delta_delrate_P4_293T_WT_v_OE	delta_delrate_P3_293T_WT_v_OE	dd_delrate_293T_WT_v_OE	data_Both_WT_v_KD	term_Both_WT_v_KD	p.value_Both_WT_v_KD	note_Both_WT_v_KD	p.value.BH_Both_WT_v_KD	delta_delrate_P101_Both_WT_v_KD	delta_delrate_P102_Both_WT_v_KD	dd_delrate_Both_WT_v_KD	data_Both_WT_v_OE	term_Both_WT_v_OE	p.value_Both_WT_v_OE	note_Both_WT_v_OE	p.value.BH_Both_WT_v_OE	delta_delrate_P4_Both_WT_v_OE	delta_delrate_P3_Both_WT_v_OE	dd_delrate_Both_WT_v_OE	delta_delrate	quartile
ACTL6A_chr3_179587991	65		glm_model_factor	9.042932693332097e-10		9.042932693332097e-10	-0.0016364812306990661	0.2658976829956449	0.267534164226344		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	1.7022560562021173e-5		1.7022560562021173e-5	0.04166085279338082	0.18975643821177524	0.1480955854183944		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	5.161221770056504e-8		5.161221770056504e-8	0.019963419255043417	0.2283696587371101	0.20840623948206669		NA	NA	NA	NA	NA	NA	NA	0.1570401620262841	3
ALDH6A1_chr14_74071478	66		glm_model_factor	3.023036252829592e-9		3.023036252829592e-9	0.0041639440224345865	0.30979730312428594	0.30563335910185135		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	0.008070539388709426		0.008070539388709426	0.08715101699803168	0.22656921297043026	0.13941819597239857		glm_model_factor	3.974042269827073e-10		3.974042269827073e-10	0.01575768063526667	0.18934608757535618	0.1735884069400895		NA	NA	NA	NA	NA	NA	NA	0.15600340589929707	3
ATP13A1_chr19_19654662	66		glm_model_factor	3.5260243098530117e-48		3.5260243098530117e-48	0.005651661232619797	0.23277625264445584	0.22712459141183605		glm_model_factor	2.0846771905279974e-32		2.0846771905279974e-32	0.0218693213769379	0.4687048504417826	0.4468355290648447		glm_model_factor	5.853848941336073e-9		5.853848941336073e-9	0.08485196330032972	0.23718114552292	0.1523291822225903		glm_model_factor	1.68334258006679e-4		1.68334258006679e-4	0.24501575399216963	0.391548044969118	0.14653229097694837		glm_model_factor	8.396673172646717e-39		8.396673172646717e-39	0.04549866462424609	0.23466835252879753	0.18916968790455144		glm_model_factor	1.9571356609028462e-18		1.9571356609028462e-18	0.1550507520857479	0.4301264477054503	0.27507569561970235	0.22133314062564247	4
B4GALT3_chr1_161171614	66		glm_model_factor	5.998737332870337e-6		5.998737332870337e-6	0.019500656360349745	0.10631480848693467	0.08681415212658493		glm_model_factor	2.6552513152700347e-8		2.6552513152700347e-8	-0.004786742314726022	0.1767739644656032	0.18156070678032923		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	4.216559607768882e-4		4.216559607768882e-4	0.02133559134610614	0.1833927908156523	0.16205719946954616	0.04081826586609323	2
BCAP31_chrX_153703029	66		glm_model_factor	0.0033215585362469024		0.0033215585362469024	0.001547412390579907	0.07211392063040975	0.07056650823982984		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	0.0411035149040519	2
BRI3BP_chr12_125025556	65		glm_model_factor	0.009110677674850104		0.009110677674850104	0.03529529419466621	0.12376578350240326	0.08847048930773704		glm_model_factor	7.687733111148142e-7		7.687733111148142e-7	-0.006220953070907476	0.06482813084232143	0.07104908391322891		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	0.00325778887684602		0.00325778887684602	0.031924048577230385	0.10880163154579926	0.07687758296856888		glm_model_factor	4.4484582680979726e-6		4.4484582680979726e-6	0.056287906150598165	0.1387392001735541	0.08245129402295592	0.06727105945768465	2
CCT7_chr2_73252776	65		glm_model_factor	5.792242956080992e-13		5.792242956080992e-13	-0.0018052560477708401	0.06005734817261773	0.06186260422038857		glm_model_factor	3.828373020384138e-11		3.828373020384138e-11	7.47366572579013e-4	0.06252733851928415	0.061779971946705134		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	0.0029817558672887066		0.0029817558672887066	0.05122251926034825	0.20067055426632224	0.14944803500597398		glm_model_factor	1.6622485435030647e-12		1.6622485435030647e-12	0.005961519526954369	0.058349518422604406	0.05238799889565004		glm_model_factor	5.140390058162708e-8		5.140390058162708e-8	0.026029822048869222	0.1315989463928032	0.10556912434393398	0.02327897065691887	1
CLPP_chr19_6368667	65		glm_model_factor	0.0074030706878757775		0.0074030706878757775	0.10107782338536289	0.17603013831224915	0.07495231492688625		glm_model_factor	5.696125575032137e-9		5.696125575032137e-9	0.14398683432286646	0.4516102003676234	0.30762336604475693		glm_model_factor	2.501682772486536e-6		2.501682772486536e-6	0.09090230786654208	0.2216736786127882	0.13077137074624612		glm_model_factor	0.013588602974765709		0.013588602974765709	0.2264787666899185	0.39118385340409884	0.16470508671418033		glm_model_factor	2.096418008729807e-9		2.096418008729807e-9	0.09622472684861794	0.19888517102269915	0.10266044417408121		glm_model_factor	9.571683981622622e-6		9.571683981622622e-6	0.18550135861177508	0.4213970268858611	0.23589566827408603	0.17200008300853037	3
CTDSP2_chr12_57820227	66		glm_model_factor	6.606921817094701e-4		6.606921817094701e-4	0.04469088557956299	0.1905249111172632	0.1458340255377002		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	8.995464016016317e-24		8.995464016016317e-24	0.24723145623832146	0.34415799492312416	0.0969265386848027		glm_model_factor	2.4996299220825203e-5		2.4996299220825203e-5	0.07089379942226205	0.19997167720853695	0.12907787778627489		glm_model_factor	1.6213513818540554e-15		1.6213513818540554e-15	0.19335719039099813	0.3017269330987235	0.10836974270772537	0.17078197363429484	3
CYC1_chr8_144097068	65		glm_model_factor	3.839224307442475e-16		3.839224307442475e-16	0.03451721142853371	0.14539255559755251	0.11087534416901881		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	1.73672853621538e-17		1.73672853621538e-17	0.07210904957349604	0.147165985069285	0.07505693549578896		NA	NA	NA	NA	NA	NA	NA	0.09293112943509094	3
DCTN1_chr2_74378181	66		glm_model_factor	3.934220340081928e-9		3.934220340081928e-9	0.09608036738964897	0.3006245738469501	0.20454420645730115		glm_model_factor	2.972947154196971e-20		2.972947154196971e-20	0.02783828938393121	0.43510030372550057	0.4072620143415694		glm_model_factor	1.5882210981065014e-13		1.5882210981065014e-13	0.11113552834326133	0.2690219259360958	0.15788639759283446		glm_model_factor	0.001853195597370212		0.001853195597370212	0.2984057630103706	0.48044628682593604	0.18204052381556546		glm_model_factor	3.5887370977682974e-19		3.5887370977682974e-19	0.10362481067051922	0.28477063456647034	0.18114582389595113		glm_model_factor	1.7893081212999323e-13		1.7893081212999323e-13	0.16342532411055932	0.4577732952757183	0.294347971165159	0.23065666309833274	4
DECR1_chr8_90044931	65		glm_model_factor	8.838354768500897e-17		8.838354768500897e-17	2.2452915034618017e-4	0.22137135983194814	0.22114683068160196		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	3.9270913149660425e-06		3.9270913149660425e-06	0.056087707946418784	0.1806096735611638	0.12452196561474502		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	3.462174016880991e-17		3.462174016880991e-17	0.028244917109952663	0.19691434806947755	0.16866943095952489		NA	NA	NA	NA	NA	NA	NA	0.12116123979250698	3
DGLUCY.SNORA11B_chr14_91126499	66		glm_model_factor	5.6542360236025684e-8		5.6542360236025684e-8	-0.003644904418627914	0.10367526216033265	0.10732016657896057		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	7.8213919811935e-6		7.8213919811935e-6	0.006782050446599143	0.06089117668974315	0.054109126243144005		NA	NA	NA	NA	NA	NA	NA	0.025618506398429754	2
DHCR24_chr1_54851248	66		glm_model_factor	6.423307547409794e-4		6.423307547409794e-4	0.004766859272732007	0.056324569480092124	0.051557710207360115		glm_model_factor	9.148349943775648e-11		9.148349943775648e-11	0.011536680532485692	0.2947498228553731	0.2832131423228874		glm_model_factor	6.427422707359078e-5		6.427422707359078e-5	0.05193130895479745	0.16056925571649278	0.10863794676169533		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	1.3298619282940485e-10		1.3298619282940485e-10	0.029021206610287932	0.10816572298355026	0.07914451637326234		glm_model_factor	1.460480678689049e-6		1.460480678689049e-6	0.07731958514569533	0.3085966017208993	0.231277016575204	0.08654986337091249	3
ELP2_chr18_36178148	65		glm_model_factor	1.9803483385313215e-36		1.9803483385313215e-36	0.3449971656066192	0.45979959033294227	0.11480242472632307		glm_model_factor	9.202827090003529e-6		9.202827090003529e-6	0.20361641124801289	0.5676652741962402	0.36404886294822736		glm_model_factor	4.939743262377435e-6		4.939743262377435e-6	0.17475764228170468	0.36458370242262667	0.189826060140922		glm_model_factor	0.020409218620311417		0.020409218620311417	0.3471410184157828	0.5675090524078408	0.22036803399205795		glm_model_factor	3.029546334604073e-55		3.029546334604073e-55	0.2557395954210425	0.411894872462498	0.1561552770414555		glm_model_factor	7.3459869806409535e-6		7.3459869806409535e-6	0.2753446226528223	0.5675871633020404	0.2922425406492181	0.3556671792455096	4
EP400_chr12_132032038	65		glm_model_factor	3.830810898321448e-12		3.830810898321448e-12	5.0349636717637e-4	0.17284345770951165	0.17233996134233528		glm_model_factor	9.832991894851221e-8		9.832991894851221e-8	0.00300346200035279	0.45582329666663485	0.45281983466628206		glm_model_factor	2.7015101147229853e-6		2.7015101147229853e-6	0.029556146163354828	0.16453419632568095	0.1349780501623261		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	2.8565396683856437e-18		2.8565396683856437e-18	0.01844852009301532	0.16853008466641062	0.1500815645733953		NA	NA	NA	NA	NA	NA	NA	0.1397707122919302	3
GNG7_chr19_2514817	66		glm_model_factor	0.020848679421901144		0.020848679421901144	-0.050859026450504635	5.1766134007972e-4	0.05137668779058435		glm_model_factor	3.3391263847761954e-10		3.3391263847761954e-10	-0.007624934699426637	0.07204209259366874	0.07966702729309538		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA	0.029707888719457443	2
GOSR1_chr17_30492728	62		glm_model_factor	2.3695857315962643e-5		2.3695857315962643e-5	-0.10787997986739055	0.009877474615690052	0.1177574544830806		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		NA	NA	NA	NA	NA	NA	NA		glm_model_factor	5.113107230608075e-4		5.113107230608075e-4	-0.06553406983461874	-0.007792144988802527	0.05774192484581621		NA	NA	NA	NA	NA	NA	NA	0.007712840030592152	1
